,personal__score,personal__credit_limit,personal__credit_utilisation,personal__number_of_accounts,personal__age_of_oldest_account,personal__missed_payments_last_12m,personal__year_of_birth,company__liabilities,company__score,company__opinion,company__turnover,company__number_of_employees,company__region,company__assets,company__year_of_incorporation,loan_amount,outcome,loan_duration
0,65,5000,0.2,0,19,0,1970,0.0,51,Outstanding,6352000.0,11,East Midlands,44000.0,2005,5000,False,360
1,68,5000,0.2,10,15,3,1942,25000.0,99,Outstanding,178699000.0,1101,East Midlands,7602000.0,1973,10000,False,360
2,99,5000,0.2,8,21,4,1906,304000.0,53,Outstanding,1297000.0,4,East Midlands,62000.0,2009,5000,False,360
3,54,0,0.2,7,22,2,1989,90000.0,72,Outstanding,19980000.0,651,North West,5112000.0,1972,10000,False,360
4,63,1000,0.2,7,10,0,2014,29000.0,82,Outstanding,4545000.0,166,London,227000.0,1974,5000,False,360
5,89,5000,0.2,3,23,0,1989,18000.0,99,Outstanding,22833000.0,3264,Scotland,3100000.0,2007,10000,False,360
6,74,1000,0.2,0,11,2,1999,26000.0,47,Outstanding,954611000.0,7477,East,4967000.0,1988,65000,False,360
7,39,1000,0.2,2,15,0,1998,78000.0,99,Outstanding,15724000.0,4533,West Midlands,4110000.0,2015,20000,False,360
8,78,1000,0.2,2,10,0,1954,25000.0,99,Outstanding,1071619000.0,375,London,3746000.0,2000,5000,False,360
9,59,0,0.2,10,16,0,1921,50000.0,54,Outstanding,3487000.0,83,East,2412000.0,1970,20000,False,360
10,23,0,0.2,8,15,0,1983,163000.0,79,Outstanding,1659000.0,23,London,0.0,1983,5000,False,360
11,95,0,0.2,4,8,4,1923,51000.0,87,Outstanding,534000.0,120,East,334000.0,2015,5000,False,360
12,86,5000,0.2,5,22,2,1936,56000.0,60,Outstanding,61406000.0,651,Northern Ireland,791000.0,2013,40000,False,360
13,82,0,0.2,6,18,1,1925,0.0,61,Outstanding,7472000.0,15,South West,330000.0,2007,5000,False,360
14,69,5000,0.2,8,24,2,1924,259000.0,72,Outstanding,448730000.0,3105,North West,26812000.0,2018,60000,False,360
15,20,1000,0.2,6,28,0,1917,61000.0,62,Outstanding,304798000.0,158,Scotland,20466000.0,2004,40000,False,360
16,25,5000,0.2,1,22,0,1934,13000.0,99,Outstanding,42843000.0,132,South East,77739000.0,1972,5000,False,360
17,97,0,0.2,3,9,2,1970,67000.0,64,Outstanding,1230581000.0,843,Scotland,14670000.0,2016,20000,True,360
18,98,0,0.2,7,6,0,1935,19000.0,99,Outstanding,520594000.0,1954,Yorkshire and the Humber,6550000.0,1988,20000,False,360
19,92,0,0.2,6,19,0,1955,75000.0,99,Outstanding,34978000.0,21839,Wales,93149000.0,1998,25000,False,360
20,99,0,0.2,10,5,6,1920,32000.0,53,Outstanding,361438000.0,30,East Midlands,8846000.0,1980,5000,False,360
21,99,1000,0.2,5,17,1,1955,17000.0,57,Outstanding,817181000.0,8396,North East,0.0,1983,40000,False,360
22,63,5000,0.2,0,21,0,2014,57000.0,40,Outstanding,4737000.0,44,West Midlands,462000.0,2004,5000,False,360
23,84,5000,0.2,2,24,0,1939,0.0,99,Outstanding,758914000.0,144,East,2724000.0,2013,60000,False,360
24,81,5000,0.2,3,17,0,1960,206000.0,43,Outstanding,18916000.0,27,London,0.0,1989,5000,False,360
25,35,1000,0.2,0,7,1,1910,73000.0,99,Outstanding,192349000.0,3421,London,2434000.0,2007,5000,False,360
26,67,5000,0.2,1,16,2,1961,72000.0,37,Outstanding,6487000.0,33,Wales,1100000.0,1986,5000,False,360
27,83,5000,0.2,1,18,3,1961,0.0,99,Outstanding,150573000.0,33,South West,1407000.0,1992,5000,True,360
28,69,0,0.2,5,11,1,1909,49000.0,52,Outstanding,75364000.0,48,London,2153000.0,2006,5000,False,360
29,68,0,0.2,8,26,0,1983,144000.0,61,Outstanding,388000.0,5,South East,43000.0,1995,5000,False,360
30,41,5000,0.2,4,16,0,1983,354000.0,52,Outstanding,2947000.0,256,South East,143000.0,1992,5000,False,360
31,91,5000,0.2,7,17,0,1958,0.0,70,Outstanding,205025000.0,1612,London,466000.0,1991,25000,False,360
32,68,5000,0.2,4,20,0,2009,0.0,99,Outstanding,31488000.0,1858,Scotland,7732000.0,1982,15000,False,360
33,82,0,0.2,1,17,2,1987,185000.0,86,Outstanding,32304000.0,17,East Midlands,175000.0,1970,60000,False,360
34,65,5000,0.2,5,15,1,1913,0.0,57,Outstanding,596000.0,9,South East,0.0,1999,5000,False,360
35,89,1000,0.2,5,3,4,1928,256000.0,69,Outstanding,633000.0,28,Yorkshire and the Humber,456000.0,2005,5000,False,360
36,40,1000,0.2,7,14,0,1947,253000.0,83,Outstanding,42759000.0,311,East,2666000.0,2006,5000,False,360
37,100,5000,0.2,7,15,0,1904,76000.0,99,Outstanding,721943000.0,6651,East Midlands,4695000.0,1987,5000,False,360
38,59,1000,0.2,0,19,1,2011,20000.0,99,Outstanding,40293000.0,3279,North West,11932000.0,1989,10000,False,360
39,43,0,0.2,8,13,0,2010,0.0,62,Outstanding,196196000.0,250,South West,13224000.0,1981,5000,False,360
40,63,5000,0.2,3,12,0,1969,79000.0,46,Outstanding,4513000.0,6001,West Midlands,6681000.0,2003,5000,False,360
41,63,1000,0.2,2,9,0,1928,113000.0,39,Outstanding,637000.0,6,West Midlands,47000.0,2006,25000,False,360
